10104,大陸地區人民,增資,百資科技股份有限公司," 	389,760 ",資訊軟體服務業,陸資持股已全數轉讓,
10104,大陸地區人民,新設公司,永豐貿易有限公司," 	400,000 ",批發及零售業,,
10306,大陸地區人民,新設公司,驫喆國際股份有限公司,"400,000",批發及零售業,,
10307,大陸地區人民,新設公司,家麗時尚事業有限公司,"400,000 ",批發及零售業,,
10310,大陸地區人民,投資現有公司,恒富生技股份有限公司," 	400,000 ",批發及零售業,,
09812,荷蘭商ZONG B.V. ,新設公司,縱信股份有限公司," 	450,000 ",批發及零售業,解散已清算完結,
09912,大陸地區人民,投資現有公司,臺灣保羅國際生物事業有限公司," 	450,000 ",批發及零售業,,
10306,大陸地區人民,新設公司,台灣和草小屋化妝品有限公司,"450,000",批發及零售業,,
10303,大陸地區人民,新設公司,江東國際貿易有限公司,"490,000",批發及零售業,,
09807,大陸商山東航空股份有限公司,設立分公司,大陸商山東航空股份有限公司在臺分公司," 	500,000 ",運輸及倉儲業,,
09812,香港商GDC TECHNOLOGY（HONG KONG） LIMITED,新設公司,台灣環球數碼創意科技股份有限公司," 	500,000 ",資訊軟體服務業,,
09901,大陸地區人民,新設公司,臺灣順野嘉工貿有限公司," 	500,000 ",批發及零售業,解散,
09901,澳大利亞商3SQX INTERNATIONAL GROUP PTY LTD,設立分公司,澳大利亞商成冠群星國際有限公司在臺分公司," 	500,000 ",批發及零售業,,
09904,大陸地區人民,新設公司,晨陽開發有限公司," 	500,000 ",批發及零售業,,
09908,大陸地區人民,新設公司,台灣海玉田科研有限公司," 	500,000 ",批發及零售業,陸資持股已全數轉讓,
09909,大陸商深圳市木森科技股份有限公司,設立分公司,大陸商深圳市木森科技有限公司在臺分公司," 	500,000 ",電子零組件製造業,,
10006,富萊恩有限責任公司,新設公司,富萊恩有限公司," 	500,000 ",批發及零售業,解散,
10008,四川航空股份有限公司,設立分公司,大陸商四川航空股份有限公司在臺分公司," 	500,000 ",運輸及倉儲業,,
10011,德豪潤達國際(香港)有限公司,投資現有公司,三頤貿易有限公司," 	500,000 ",批發及零售業,停業至104年11月12日,
10101,永農生物科學有限公司,設立分公司,大陸商永農生物科學有限公司在臺分公司," 	500,000 ",批發及零售業,,
10102,香港商合勝科技有限公司,新設公司,佰維存儲科技股份有限公司," 	500,000 ",批發及零售業,解散,
10108,大陸地區人民,新設公司,萬眾百源科技有限公司," 	500,000 ",電子零組件製造業,,
10110,大陸地區人民,新設公司,永康有限公司," 	500,000 ",餐館業,解散,
10112,大陸地區人民,新設公司,台灣群思科技有限公司," 	500,000 ",機械設備製造業,,
